Country,Latitude,Longitude,Oil Consumption,Oil Cost,Natural Gas Consumption,Natural Gas Cost,Coal Consumption,Coal Cost,Nuclear Energy Consumption,Nuclear Cost,Hydroelectric Consumption,Hydroelectic Cost,Renewable Consumption,Renewable Cost,,
Canada,56.130366,-106.346771,4.27,"$341,349,601.75",4.38,"$26,981,041,108.50",0.39,"$718,836,767.11",0.78,"$39,016,887.55",3.74,"$149,584,617.61",0.59,"$29,556,958.47",,
Mexico,23.634501,-102.552784,4.12,"$329,442,863.46",3.48,"$21,425,798,260.03",0.25,"$467,834,284.21",0.10,"$4,885,835.20",0.34,"$13,409,429.79",0.45,"$22,309,116.83",,
US,37.09024,-95.712891,36.15,"$2,892,003,479.00",31.72,"$195,481,080,012.73",9.87,"$18,375,778,907.54",7.31,"$365,727,519.99",2.43,"$97,067,165.37",8.43,"$421,353,380.38",,
Argentina,-38.416097,-63.616672,1.38,"$110,241,575.24",1.64,"$10,133,947,450.55",0.05,"$96,522,741.50",0.07,"$3,363,573.92",0.22,"$8,968,775.87",0.24,"$11,878,501.25",,
Brazil,-14.235004,-51.92528,5.01,"$400,521,545.41",1.15,"$7,093,342,397.99",0.59,"$1,090,403,181.76",0.13,"$6,556,262.82",4.01,"$160,350,131.99",2.53,"$126,320,386.68",,
Chile,-35.675147,-71.542969,0.80,"$63,755,431.18",0.27,"$1,654,760,111.16",0.22,"$410,042,158.19",0.00,$0.00,0.21,"$8,352,448.94",0.29,"$14,700,967.07",,
Colombia,4.570868,-74.297333,0.96,"$76,894,283.29",0.45,"$2,791,763,617.30",0.10,"$190,999,529.05",0.00,$0.00,0.60,"$24,153,978.82",0.07,"$3,648,749.27",,
Ecuador,-1.831239,-78.183406,0.53,"$42,195,019.72",0.02,"$121,949,191.43",0.00,"$5,361,470.82",0.00,$0.00,0.23,"$9,248,714.45",0.01,"$302,736.44",,
Peru,-9.189967,-75.015152,0.50,"$39,765,377.04",0.35,"$2,134,183,071.46",0.03,"$54,548,439.73",0.00,$0.00,0.28,"$11,165,333.99",0.05,"$2,688,859.73",,
Trinidad & Tobago,10.691803,-61.222503,0.05,"$3,908,602.30",0.54,"$3,341,832,447.01",0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,"$2,612.39",,
Venezuela,6.42375,-66.58973,0.53,"$42,543,182.37",1.05,"$6,472,529,969.31",0.00,"$2,788,783.02",0.00,$0.00,0.63,"$25,014,138.22",0.00,"$8,828.56",,
Austria,47.516231,14.550072,0.48,"$38,729,813.10",0.28,"$1,755,317,815.43",0.10,"$189,653,123.73",0.00,$0.00,0.33,"$13,341,144.32",0.17,"$8,468,223.49",,
Belgium,50.503887,4.469936,1.16,"$92,445,001.60",0.52,"$3,228,419,810.35",0.12,"$214,453,352.60",0.39,"$19,693,581.76",0.00,"$118,497.64",0.26,"$12,943,849.01",,
Czech Republic,49.817492,15.472962,0.41,"$33,073,585.03",0.27,"$1,636,332,656.40",0.59,"$1,096,637,423.54",0.28,"$13,969,843.09",0.02,"$785,752.76",0.10,"$5,222,648.44",,
Finland,61.92411,25.748151,0.33,"$26,794,574.26",0.04,"$240,145,464.00",0.12,"$227,442,276.58",0.23,"$11,366,599.80",0.13,"$5,128,842.59",0.32,"$16,228,900.38",,
France,46.227638,2.213749,2.91,"$232,919,845.58",1.38,"$8,512,086,199.80",0.21,"$398,575,986.88",2.65,"$132,724,249.36",0.42,"$16,738,902.33",0.81,"$40,388,670.19",,
Germany,51.165691,10.451526,4.26,"$340,739,593.51",2.78,"$17,145,393,386.44",2.33,"$4,338,654,024.60",0.31,"$15,626,217.42",0.16,"$6,569,979.79",2.45,"$122,508,702.43",,
Greece,39.074208,21.824312,0.62,"$49,250,931.74",0.22,"$1,374,626,354.40",0.07,"$134,158,507.81",0.00,$0.00,0.04,"$1,708,308.61",0.18,"$9,172,251.32",,
Hungary,47.162494,19.503304,0.35,"$27,745,814.32",0.33,"$2,036,251,386.00",0.05,"$92,594,833.44",0.14,"$7,120,703.91",0.00,"$66,148.81",0.09,"$4,278,481.48",,
Italy,41.87194,12.56738,2.47,"$197,572,288.51",2.35,"$14,478,806,134.14",0.31,"$568,273,779.39",0.00,$0.00,0.26,"$10,571,922.06",0.76,"$37,780,037.37",,
Netherlands,52.132633,5.291266,1.78,"$142,791,166.31",0.98,"$6,022,122,600.00",0.23,"$432,375,743.87",0.04,"$1,872,471.91",0.00,"$18,801.87",0.51,"$25,432,282.92",,
Norway,60.472024,8.468946,0.36,"$28,867,242.34",0.14,"$884,507,444.06",0.03,"$62,577,464.30",0.00,$0.00,1.20,"$47,908,372.88",0.16,"$8,026,227.71",,
Poland,51.919438,19.145136,1.46,"$116,727,914.81",0.65,"$3,977,481,320.23",1.81,"$3,361,339,566.86",0.00,$0.00,0.02,"$738,841.15",0.39,"$19,287,656.81",,
Portugal,39.399872,-8.224454,0.46,"$36,549,909.11",0.20,"$1,243,719,116.36",0.00,"$701,655.36",0.00,$0.00,0.06,"$2,441,674.02",0.21,"$10,386,902.89",,
Romania,45.943161,24.96676,0.45,"$35,746,297.84",0.35,"$2,167,142,213.11",0.17,"$307,260,937.73",0.10,"$4,993,634.67",0.13,"$5,190,634.13",0.11,"$5,264,930.82",,
